RunID, LON, LAT, Mukey, MUSYM, COMPNAME, MUNAME, TEXTURE, SLOPE_R, NIRRCAPCL, NIRRCAPSCL, NIRRCAPUNIT, RSPROD_L, RSPROD_R, RSPROD_H, COKEY, Biomass_2008_T/HA, Biomass_2009_T/HA, Biomass_2010_T/HA, Biomass_2011_T/HA, Biomass_2012_T/HA, Biomass_2013_T/HA, Biomass_2014_T/HA, Biomass_2015_T/HA, Biomass_2016_T/HA, Biomass_2017_T/HA, Biomass_2018_T/HA, Biomass_2019_T/HA, Biomass_2020_T/HA, Biomass_2021_T/HA, Biomass_2022_T/HA, Biomass_2023_T/HA, Biomass_2024_T/HA, Biomass_2025_T/HA, Biomass_2026_T/HA, Biomass_2027_T/HA, Biomass_2028_T/HA, Biomass_2029_T/HA, Biomass_2030_T/HA, Biomass_2031_T/HA, Biomass_2032_T/HA, Biomass_2033_T/HA, Biomass_2034_T/HA, Biomass_2035_T/HA, Biomass_2036_T/HA, Biomass_2037_T/HA, Biomass_2038_T/HA, Biomass_2039_T/HA, Biomass_2040_T/HA, Biomass_2041_T/HA, Biomass_2042_T/HA, Biomass_2043_T/HA, Biomass_2044_T/HA, Biomass_2045_T/HA, Biomass_2046_T/HA, Biomass_2047_T/HA, Biomass_2048_T/HA, Biomass_2049_T/HA, Biomass_2050_T/HA, Biomass_2051_T/HA
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 0.04, 0.03, 0.05, 0.02, 0.04, 0.02, 0.05, 0.02, 0.04, 0.02, 0.05, 0.02, 0.04, 0.03, 0.05, 0.02, 0.04, 0.03, 0.05, 0.02, 0.05, 0.02, 0.05, 0.02, 0.05, 0.02, 0.05, 0.02, 0.05, 0.02, 0.05, 0.03, 0.05, 0.03, 0.05, 0.02, 0.04, 0.04, 0.05, 0.02, 0.04, 0.02, 0.05, 0.03
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 0.05, 0.03, 0.05, 0.02, 0.04, 0.03, 0.05, 0.02, 0.04, 0.02, 0.05, 0.03, 0.05, 0.02, 0.05, 0.02, 0.04, 0.05, 0.05, 0.03, 0.04, 0.04, 0.05, 0.02, 0.05, 0.02, 0.05, 0.02, 0.05, 0.02, 0.05, 0.02, 0.05, 0.02, 0.05, 0.03, 0.05, 0.02, 0.05, 0.02, 0.05, 0.03, 0.05, 0.02
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 0.16, 0.04, 0.19, 0.04, 0.12, 0.05, 0.16, 0.03, 0.13, 0.04, 0.14, 0.03, 0.13, 0.03, 0.15, 0.02, 0.1, 0.03, 0.16, 0.04, 0.14, 0.04, 0.19, 0.02, 0.09, 0.04, 0.14, 0.04, 0.15, 0.04, 0.15, 0.04, 0.11, 0.05, 0.15, 0.04, 0.14, 0.05, 0.21, 0.04, 0.14, 0.05, 0.17, 0.04
13, -119.4332, 42.7122, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 0.03, 0, 0.11, 0.02, 0, 0.18, 0.02, 0.02, 0, 0.19, 0.02, 0.02, 0, 0.24, 0.05, 0.03, 0, 0.25, 0.03, 0.02, 0, 0.16, 0.02, 0.02, 0, 0.21, 0.02, 0.02, 0, 0.19, 0.02, 0.03, 0, 0.17, 0.02, 0.02, 0, 0.14, 0.03, 0.02, 7.29, 0.17, 0.03, 0.03
14, -119.6813, 47.6175, 699619, 119, DelRio, DelRio ashy fine sandy loam 0 to 8 percent slopes, ASHY-FSL, 4, 3, e, 0, 600, 750, 900, 23887061, 0.04, 0.07, 0, 0.03, 0.37, 0, 0.05, 0.03, 0.37, 0, 0.04, 0.03, 0.39, 0, 0.04, 0.03, 0.43, 0, 0.05, 0.03, 0.43, 0, 0.04, 0.03, 0.43, 0, 0.05, 0.03, 0.32, 0, 0.03, 0.03, 0.34, 0, 0.05, 0.05, 0.4, 0, 0.05, 0.03, 0.46, 10.55, 0.05, 0.03
15, -112.4604, 40.1991, 482128, 24, Hiko Peak, Hiko Peak-Taylorsflat complex 1 to 15 percent slopes, GR-L, 9, 6, s, 0, 500, 800, 1000, 24520209, 0, 0.07, 0.03, 0.02, 0, 0.07, 0.05, 0.02, 0, 0.06, 0.02, 0.03, 0, 0.06, 0.02, 0.02, 0, 0.04, 0.02, 0.03, 0, 0.02, 0.02, 0.03, 0, 0.01, 0.04, 0.03, 0, 0, 0.02, 0.02, 0, 0, 0.02, 0.03, 0, -0.01, 0.02, 0.03, 8.42, -0.01, 0.04, 0.04
16, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 0, 0.03, 0.06, 0.02, 0, 0.09, 0.02, 0.02, 0, 0.11, 0.02, 0.02, 0, 0.09, 0.03, 0.02, 0, 0.07, 0.03, 0.02, 0, 0.03, 0.02, 0.02, 0, 0.02, 0.02, 0.02, 0, 0.01, 0.02, 0.03, 0, 0, 0.03, 0.02, 0, 0, 0.04, 0.02, 8.5, -0.01, 0.02, 0.03
17, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 0, 0.18, 0.03, 0.02, 0, 0.33, 0.03, 0.02, 0, 0.5, 0.02, 0.03, 0, 0.56, 0.02, 0.02, 0, 0.46, 0.05, 0.03, 0, 0.4, 0.04, 0.02, 0, 0.25, 0.02, 0.02, 0, 0.19, 0.02, 0.02, 0, 0.09, 0.02, 0.03, 0, 0.05, 0.02, 0.02, 8.03, 0.02, 0.03, 0.02
18, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 0.05, 0.14, 0, 0.04, 0.31, 0, 0.05, 0.03, 0.26, 0, 0.04, 0.03, 0.28, 0, 0.03, 0.02, 0.29, 0, 0.03, 0.04, 0.23, 0, 0.04, 0.02, 0.3, 0, 0.04, 0.04, 0.18, 0, 0.04, 0.04, 0.22, 0, 0.05, 0.04, 0.28, 0, 0.05, 0.04, 0.26, 10.56, 0.05, 0.04
19, -119.4332, 42.7122, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 0, 0.11, 0, 0.27, 0, 0.34, 0, 0.31, 0, 0.28, 0, 0.16, 0, 0.12, 0, 0.05, 0, 0.02, 0, 0.01, 7.57, 0.01
1, -119.4332, 42.7122, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 0.05, 0, 0.1, 0.03, 0.06, 0.02, 0, 0.18, 0.05, 0.04, 0.05, 0.02, 0, 0.19, 0.05, 0.04, 0.05, 0.02, 0, 0.25, 0.04, 0.05, 0.05, 0.03, 0, 0.29, 0.04, 0.03, 0.05, 0.02, 0, 0.16, 0.06, 0.05, 0.05, 0.02, 0, 0.2, 0.05, 0.04, 0.05, 0.02, 0, 0.17, 0.05, 0.02, 0.05, 0.03, 0, 0.17, 0.05, 0.02, 0.05, 0.02, 0, 0.14, 0.05, 0.03, 0.05, 0.02, 7.27, 0.15, 0.04, 0.03, 0.05, 0.03
20, -119.6813, 47.6175, 699619, 119, DelRio, DelRio ashy fine sandy loam 0 to 8 percent slopes, ASHY-FSL, 4, 3, e, 0, 600, 750, 900, 23887061, 0, 0.22, 0, 0.41, 0, 0.38, 0, 0.35, 0, 0.34, 0, 0.26, 0, 0.16, 0, 0.1, 0, 0.09, 0, 0.09, 10.88, 0.13
21, -112.4604, 40.1991, 482128, 24, Hiko Peak, Hiko Peak-Taylorsflat complex 1 to 15 percent slopes, GR-L, 9, 6, s, 0, 500, 800, 1000, 24520209, 0, 0.07, 0, 0.07, 0, 0.06, 0, 0.06, 0, 0.04, 0, 0.02, 0, 0.01, 0, 0, 0, 0, 0, -0.01, 8.43, -0.01
22, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 0, 0.06, 0, 0.1, 0, 0.11, 0, 0.09, 0, 0.07, 0, 0.03, 0, 0.01, 0, 0.01, 0, 0, 0, -0.01, 8.44, -0.01
23, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 0, 0.17, 0, 0.32, 0, 0.49, 0, 0.56, 0, 0.46, 0, 0.4, 0, 0.26, 0, 0.19, 0, 0.09, 0, 0.05, 7.96, 0.02
