RunID, LON, LAT, Mukey, MUSYM, COMPNAME, MUNAME, TEXTURE, SLOPE_R, NIRRCAPCL, NIRRCAPSCL, NIRRCAPUNIT, RSPROD_L, RSPROD_R, RSPROD_H, COKEY, Yield_2008_T/HA, Yield_2009_T/HA, Yield_2010_T/HA, Yield_2011_T/HA, Yield_2012_T/HA, Yield_2013_T/HA, Yield_2014_T/HA, Yield_2015_T/HA, Yield_2016_T/HA, Yield_2017_T/HA, Yield_2018_T/HA, Yield_2019_T/HA, Yield_2020_T/HA, Yield_2021_T/HA, Yield_2022_T/HA, Yield_2023_T/HA, Yield_2024_T/HA, Yield_2025_T/HA, Yield_2026_T/HA, Yield_2027_T/HA, Yield_2028_T/HA, Yield_2029_T/HA, Yield_2030_T/HA, Yield_2031_T/HA, Yield_2032_T/HA, Yield_2033_T/HA, Yield_2034_T/HA, Yield_2035_T/HA, Yield_2036_T/HA, Yield_2037_T/HA, Yield_2038_T/HA, Yield_2039_T/HA, Yield_2040_T/HA, Yield_2041_T/HA, Yield_2042_T/HA, Yield_2043_T/HA, Yield_2044_T/HA, Yield_2045_T/HA, Yield_2046_T/HA, Yield_2047_T/HA, Yield_2048_T/HA, Yield_2049_T/HA, Yield_2050_T/HA, Yield_2051_T/HA
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 0.03, 0.02, 0.03, 0.01, 0.03, 0.01, 0.03, 0.01, 0.03, 0.01, 0.03, 0.01, 0.03, 0.01, 0.03, 0.01, 0.03, 0.02, 0.03, 0.01, 0.03, 0.02, 0.03, 0.01, 0.03, 0.01, 0.03, 0.01, 0.03, 0.02, 0.03, 0.01, 0.03, 0.02, 0.03, 0.01, 0.03, 0.03, 0.03, 0.01, 0.03, 0.02, 0.03, 0.01
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 0.03, 0.02, 0.03, 0.01, 0.03, 0.02, 0.03, 0.01, 0.03, 0.01, 0.03, 0.01, 0.03, 0.01, 0.03, 0.01, 0.03, 0.03, 0.03, 0.01, 0.03, 0.03, 0.03, 0.01, 0.03, 0.02, 0.03, 0.01, 0.03, 0.02, 0.03, 0.01, 0.03, 0.01, 0.03, 0.01, 0.03, 0.02, 0.03, 0.01, 0.03, 0.02, 0.03, 0.01
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 0.11, 0.03, 0.14, 0.02, 0.08, 0.03, 0.11, 0.01, 0.1, 0.03, 0.1, 0.01, 0.1, 0.02, 0.11, 0.01, 0.07, 0.03, 0.12, 0.03, 0.1, 0.03, 0.14, 0.01, 0.07, 0.03, 0.1, 0.02, 0.1, 0.03, 0.11, 0.03, 0.08, 0.04, 0.11, 0.03, 0.1, 0.04, 0.15, 0.02, 0.1, 0.04, 0.12, 0.02
13, -119.4332, 42.7122, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 0.02, 0, 0.07, 0.01, 0, 0.11, 0.01, 0.01, 0, 0.1, 0.01, 0.01, 0, 0.13, 0.03, 0.01, 0, 0.15, 0.02, 0.01, 0, 0.09, 0.02, 0.01, 0, 0.13, 0.02, 0.01, 0, 0.13, 0.01, 0.01, 0, 0.12, 0.01, 0.01, 0, 0.09, 0.02, 0.01, 5.2, 0.1, 0.02, 0.01
14, -119.6813, 47.6175, 699619, 119, DelRio, DelRio ashy fine sandy loam 0 to 8 percent slopes, ASHY-FSL, 4, 3, e, 0, 600, 750, 900, 23887061, 0.03, 0.04, 0, 0.01, 0.25, 0, 0.03, 0.01, 0.26, 0, 0.03, 0.01, 0.27, 0, 0.03, 0.01, 0.3, 0, 0.03, 0.01, 0.31, 0, 0.03, 0.01, 0.31, 0, 0.03, 0.01, 0.23, 0, 0.02, 0.01, 0.24, 0, 0.04, 0, 0.26, 0, 0.04, 0.01, 0.33, 7.52, 0.03, 0.01
15, -112.4604, 40.1991, 482128, 24, Hiko Peak, Hiko Peak-Taylorsflat complex 1 to 15 percent slopes, GR-L, 9, 6, s, 0, 500, 800, 1000, 24520209, 0, 0.05, 0.02, 0.01, 0, 0.05, 0.03, 0.01, 0, 0.04, 0.02, 0.01, 0, 0.04, 0.01, 0.01, 0, 0.03, 0.01, 0.01, 0, 0.01, 0.01, 0.01, 0, 0.01, 0.03, 0.02, 0, 0.01, 0.02, 0.01, 0, 0.01, 0.01, 0.02, 0, 0.01, 0.02, 0.01, 6, 0.01, 0.03, 0.02
16, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 0, 0.02, 0.04, 0.01, 0, 0.06, 0.01, 0.01, 0, 0.07, 0.01, 0.01, 0, 0.06, 0.01, 0.01, 0, 0.05, 0.02, 0.01, 0, 0.02, 0.02, 0.01, 0, 0.01, 0.01, 0.01, 0, 0.01, 0.02, 0.01, 0, 0.01, 0.02, 0.01, 0, 0.01, 0.03, 0.01, 6.06, 0.01, 0.02, 0.01
17, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 0, 0.12, 0.02, 0.01, 0, 0.2, 0.02, 0.01, 0, 0.32, 0.01, 0.01, 0, 0.36, 0.01, 0.01, 0, 0.28, 0.03, 0.01, 0, 0.28, 0.03, 0.01, 0, 0.17, 0.02, 0.01, 0, 0.13, 0.02, 0.01, 0, 0.06, 0.01, 0.01, 0, 0.03, 0.02, 0.01, 5.72, 0.01, 0.02, 0.01
18, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 0.03, 0.09, 0, 0.02, 0.22, 0, 0.03, 0.01, 0.18, 0, 0.03, 0.01, 0.2, 0, 0.02, 0.01, 0.21, 0, 0.03, 0.03, 0.17, 0, 0.03, 0.01, 0.21, 0, 0.03, 0.02, 0.13, 0, 0.03, 0.03, 0.15, 0, 0.04, 0.03, 0.2, 0, 0.04, 0.02, 0.18, 7.53, 0.04, 0.02
19, -119.4332, 42.7122, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 0, 0.07, 0, 0.18, 0, 0.22, 0, 0.19, 0, 0.19, 0, 0.11, 0, 0.08, 0, 0.03, 0, 0.02, 0, 0.01, 5.4, 0.01
