RunID, LON, LAT, Mukey, MUSYM, COMPNAME, MUNAME, TEXTURE, SLOPE_R, NIRRCAPCL, NIRRCAPSCL, NIRRCAPUNIT, RSPROD_L, RSPROD_R, RSPROD_H, COKEY, Year, Yield_T_HA, Biomass_T_HA, ET_mm, MX_HU, HarvMoDay, WUE
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2037, 0.02, 0.02, 262.1, 220, , 0.05263158
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2038, 0.03, 0.05, 262.1, 200, , 0.07894737
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2039, 0.01, 0.03, 262.1, 70, , 0.02631579
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2040, 0.03, 0.05, 183.44, 200, , 0.09677419
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2041, 0.02, 0.03, 183.44, 220, , 0.06451613
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2042, 0.03, 0.05, 183.44, 200, , 0.09677419
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2043, 0.01, 0.02, 183.44, 130, , 0.03225806
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2044, 0.03, 0.04, 217.4, 200, , 0.125
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2045, 0.03, 0.04, 217.4, 203, , 0.125
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2046, 0.03, 0.05, 217.4, 200, , 0.125
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2047, 0.01, 0.02, 217.4, 101, , 0.04166667
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2048, 0.03, 0.04, 199.2, 200, , 0.12
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2049, 0.02, 0.02, 199.2, 204, , 0.08
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2050, 0.03, 0.05, 199.2, 200, , 0.12
10, -116.8851, 41.5476, 477231, 2804, Bartome, Bartome-Chiara association, ASHY-VFSL, 1, 7, s, 0, 400, 600, 800, 24573308, 2051, 0.01, 0.03, 199.2, 74, , 0.04
